firm_failure,firm_financial_crisis,first_year,age_at_financial_crisis,lifespan,log_total_investment,log_ipo_value,return_to_ipo,log_time_to_ipo,california,industry_segment,firm_founder_ceo,dot_com_ipo,firm_id
1,0,1998,,2,15.127919,19.481428,77.750862,8.4815664,0,Retailers,1,1,97
1,0,1999,,2,18.547279,20.065836,4.5656314,6.4377518,0,Communications and Networking,0,1,98
1,0,1995,,2,14.637538,16.794727,8.6468086,7.6746173,0,Travel and Leisure,1,0,99
1,1,2008,0,4,21.041307,21.927147,2.4250205,7.113956,0,Communications and Networking,0,0,100
1,0,1999,,0,17.521114,20.168728,14.120301,7.029973,1,Communications and Networking,0,1,101
1,1,1996,12,18,17.143705,18.904324,5.8160367,7.7600408,0,Electronics and Computer Hardware,1,0,102
1,0,2003,,3,17.710459,18.834415,3.0770009,7.8131871,0,Machinery and Industrial Goods,1,0,103
1,1,2006,2,3,17.482826,19.452761,7.1702147,7.6255951,0,Electronics and Computer Hardware,1,0,104
0,1,2006,2,11,18.058786,19.633369,4.8287244,7.9624157,0,Business Support Services,0,0,105
1,1,1998,10,16,17.098555,19.199327,8.1724806,7.5827384,0,Software,0,0,106
1,1,2006,2,8,17.161768,19.566282,11.073036,8.3945732,0,Business Support Services,0,0,107
0,0,2012,,5,18.20051,19.380562,3.254545,8.2448597,0,Electronics and Computer Hardware,0,0,108
1,0,2009,,2,17.537462,18.554268,2.7643476,8.2594585,0,Business Support Services,0,0,109
1,0,1999,,7,17.169954,19.303999,8.4489632,7.0030656,0,Financial Institutions and Services,1,1,110
1,1,1998,10,15,17.335711,18.87052,4.6404338,7.2902927,1,Media and Content,1,1,111
1,0,1999,,4,18.469303,20.395998,6.8667765,6.5366917,1,Business Support Services,0,1,112
0,0,2011,,6,17.124153,19.905518,16.141008,8.4026794,1,Software,0,0,113
1,0,1999,,6,19.493933,23.16939,39.466675,7.0501227,0,Communications and Networking,1,1,114
0,1,1997,11,20,19.415766,20.78841,3.9457731,7.1899223,0,Communications and Networking,1,0,115
1,0,2012,,2,17.983027,19.744373,5.8202691,7.7786303,1,Communications and Networking,0,0,116
1,0,1998,,1,16.70476,18.901194,8.9928789,7.5054922,1,Business Support Services,1,1,117
1,0,1998,,3,16.926447,19.912231,19.802017,7.1260872,0,Retailers,1,0,118
1,1,1998,10,11,16.476151,19.212042,15.423498,6.3456364,1,Software,1,1,119
1,1,1995,13,17,17.813755,18.431072,1.8539499,8.272315,1,Semiconductors,0,0,120
1,1,2006,2,2,17.249609,20.285639,20.822424,7.6477861,1,Software,0,0,121
0,0,2009,,8,19.368639,20.793432,4.1570015,7.474205,1,Consumer Information Services,0,0,122
1,0,2011,,4,17.468082,19.562704,8.122365,7.9892216,0,Software,0,0,123
1,0,1998,,4,16.425421,18.380245,7.0626798,7.8164172,0,Communications and Networking,0,0,124
1,0,1993,,1,,18.369961,,8.1721649,1,Electronics and Computer Hardware,0,0,125
0,1,2007,1,10,16.576025,19.327278,15.662244,7.4922032,0,Software,0,1,126
1,0,1998,,7,16.623844,19.144957,12.442419,7.3479438,1,Business Support Services,0,1,127
1,0,1998,,2,18.126827,19.589119,4.3158331,7.5837564,1,Communications and Networking,0,1,128
1,1,2002,6,13,16.458921,19.219934,15.81585,8.4480572,1,Electronics and Computer Hardware,0,0,129
1,0,1999,,4,17.464029,19.857035,10.946334,7.2477927,1,Media and Content,1,1,130
1,1,1999,9,13,16.935242,18.578171,5.1702914,8.6695709,1,Communications and Networking,0,1,131
1,1,2006,2,3,17.645409,19.015713,3.9365504,8.6704292,0,Software,0,0,132
1,1,1998,10,12,18.266951,20.519962,9.5163603,6.1800165,0,Retailers,0,1,133
